threshold,mean_f1,mean_precision,fold_f1_json,fold_precision_json,selected
0.56000000000000005,0.67007527876706319,0.58462871778748782,"[0.6954851104707013,0.6730769230769231,0.6293436293436293,0.6714671467146714,0.6810035842293907]","[0.6125211505922166,0.5978260869565217,0.5379537953795379,0.5911251980982567,0.5837173579109063]",False
0.56999999999999995,0.66908135414258374,0.58941340744055482,"[0.6957364341085271,0.6708407871198568,0.6309639727361246,0.6721162579473207,0.6757493188010899]","[0.6168384879725086,0.6067961165048543,0.542713567839196,0.5958132045088567,0.5849056603773585]",False
0.57999999999999996,0.6721750459695619,0.5977641016148223,"[0.7019607843137254,0.6702800361336947,0.6381709741550696,0.6758747697974218,0.6745886654478976]","[0.6280701754385964,0.6112026359143328,0.5572916666666666,0.6056105610561056,0.5866454689984102]",False
0.58999999999999997,0.67240388790350425,0.60346909945016747,"[0.7029702970297029,0.6654545454545454,0.6391129032258065,0.67984934086629,0.6746323529411765]","[0.6339285714285714,0.61,0.5640569395017794,0.6202749140893471,0.5890850722311396]",False
0.59999999999999998,0.67758693212881049,0.6150297244793872,"[0.7116935483870968,0.6685133887349953,0.6480908152734778,0.683111954459203,0.6765249537892791]","[0.6512915129151291,0.6209262435677531,0.5825602968460112,0.627177700348432,0.593192868719611]",False
0.60999999999999999,0.67949959379498859,0.6253292912267161,"[0.7115188583078491,0.6716557530402245,0.6511134676564156,0.6833976833976834,0.67981220657277]","[0.6572504708097928,0.6309314586994728,0.5984405458089669,0.6366906474820144,0.6033333333333334]",False
0.62,0.68161784494189392,0.63596059427178686,"[0.7158974358974359,0.6704545454545454,0.6521739130434783,0.681640625,0.6879227053140097]","[0.6647619047619048,0.6366906474820144,0.6122448979591837,0.6415441176470589,0.624561403508772]",True
0.63,0.6802739766615602,0.64327812255336758,"[0.7160751565762005,0.6692307692307692,0.6497797356828194,0.6904761904761905,0.6758080313418218]","[0.6751968503937008,0.6444444444444445,0.6171548117154811,0.6590909090909091,0.6205035971223022]",False
0.64000000000000001,0.67259555435323326,0.64681316925494503,"[0.7168610816542949,0.6568338249754179,0.6458100558659218,0.6761421319796954,0.6673306772908366]","[0.6855983772819473,0.6460348162475822,0.621505376344086,0.6594059405940594,0.62152133580705]",False
0.65000000000000002,0.67185373189228437,0.65731124433273225,"[0.7162592986184909,0.6606060606060606,0.6408209806157354,0.6735537190082644,0.6680286006128703]","[0.6863543788187373,0.6673469387755102,0.6286353467561522,0.6680327868852459,0.6361867704280155]",False
0.66000000000000003,0.66431028546967863,0.66361824172236783,"[0.71259418729817,0.6496424923391215,0.6479532163742691,0.6772151898734177,0.6341463414634146]","[0.6910229645093946,0.6638830897703549,0.6517647058823529,0.6858974358974359,0.6255230125523012]",False
0.67000000000000004,0.65504799001801317,0.66766606699036568,"[0.6995614035087719,0.6283924843423799,0.6476190476190476,0.6780748663101605,0.6215921483097055]","[0.6904761904761905,0.6572052401746725,0.6634146341463415,0.6967032967032967,0.6305309734513275]",False
0.68000000000000005,0.64957915474666394,0.67371879698538462,"[0.6969026548672567,0.6196581196581197,0.6365853658536585,0.6745945945945946,0.6201550387596899]","[0.6938325991189427,0.6651376146788991,0.6692307692307692,0.701123595505618,0.639269406392694]",False
0.68999999999999995,0.63961013493182062,0.67506095081646167,"[0.6825396825396826,0.6073752711496746,0.6379310344827587,0.6622950819672131,0.607909604519774]","[0.6967592592592593,0.6635071090047393,0.6780104712041884,0.696551724137931,0.6404761904761904]",False
0.69999999999999996,0.6325222679323913,0.68017899517786817,"[0.6682080924855491,0.593576965669989,0.6425902864259029,0.6607734806629835,0.5974625144175317]","[0.6963855421686747,0.6650124069478908,0.6916890080428955,0.7035294117647058,0.6442786069651741]",False
0.70999999999999996,0.61864338912378236,0.68222038411317598,"[0.6666666666666666,0.5865168539325842,0.6147859922178989,0.6524663677130045,0.5727810650887574]","[0.7037037037037037,0.6692307692307692,0.6950146627565983,0.7063106796116505,0.6368421052631579]",False
0.71999999999999997,0.59785489489467869,0.67953824367787052,"[0.6611764705882353,0.5714285714285714,0.5698778833107191,0.6384439359267735,0.5483476132190942]","[0.7025,0.6666666666666666,0.6840390879478827,0.7081218274111675,0.6363636363636364]",False
0.72999999999999998,0.58485718702045897,0.68670743846145521,"[0.6547192353643967,0.5694444444444444,0.550561797752809,0.6204465334900118,0.529113924050633]","[0.7080103359173127,0.6758241758241759,0.6950354609929078,0.7115902964959568,0.6430769230769231]",False
0.73999999999999999,0.56693497532623527,0.68369969953461418,"[0.6341463414634146,0.544589774078478,0.5433854907539118,0.611904761904762,0.5006485084306096]","[0.7027027027027027,0.6715542521994134,0.6996336996336996,0.7138888888888889,0.630718954248366]",False
0.75,0.55224086701240271,0.68329858785341702,"[0.6222222222222222,0.529482551143201,0.5310245310245311,0.5932203389830508,0.48525469168900803]","[0.7,0.6646525679758308,0.6996197718631179,0.708092485549133,0.6441281138790036]",False
0.76000000000000001,0.52416769615044279,0.67422361063858094,"[0.5886889460154242,0.5195121951219512,0.5211062590975255,0.55819774718398,0.43333333333333335]","[0.698170731707317,0.665625,0.6964980544747081,0.6990595611285266,0.611764705882353]",False
0.77000000000000002,0.51553688610558135,0.6768893635866956,"[0.5810635538261998,0.511742892459827,0.5066273932253313,0.5555555555555556,0.4226950354609929]","[0.6978193146417445,0.6699029126213593,0.6907630522088354,0.7051282051282052,0.6208333333333333]",False
0.78000000000000003,0.49767529093156249,0.67534296999728538,"[0.576271186440678,0.49748743718592964,0.48632218844984804,0.5405405405405406,0.3877551020408163]","[0.6971608832807571,0.668918918918919,0.7017543859649122,0.7070707070707071,0.6018099547511312]",False
0.79000000000000004,0.4892743121635611,0.67858055165673314,"[0.5740498034076016,0.4936708860759494,0.47692307692307695,0.5364583333333334,0.3652694610778443]","[0.6996805111821086,0.6724137931034483,0.7045454545454546,0.7152777777777778,0.6009852216748769]",False
0.80000000000000004,0.48197359611186014,0.68276491493535441,"[0.5763612217795485,0.4936061381074169,0.4722222222222222,0.5210526315789473,0.34662576687116564]","[0.7161716171617162,0.6843971631205674,0.7018348623853211,0.7071428571428572,0.6042780748663101]",False
0.81000000000000005,0.46543322954727484,0.67722876288152023,"[0.5625841184387618,0.48578811369509045,0.4423380726698262,0.5046728971962616,0.33178294573643413]","[0.7133105802047781,0.6861313868613139,0.6896551724137931,0.7026022304832714,0.5944444444444444]",False
0.81999999999999995,0.44407444903489113,0.66970402828438236,"[0.5403899721448467,0.468586387434555,0.4032520325203252,0.49731182795698925,0.3108320251177394]","[0.7238805970149254,0.678030303030303,0.6702702702702703,0.7007575757575758,0.5755813953488372]",False
0.82999999999999996,0.42892534820364803,0.67345749123570076,"[0.49712643678160917,0.4631578947368421,0.40468227424749165,0.4821917808219178,0.2974683544303797]","[0.7032520325203252,0.676923076923077,0.7202380952380952,0.704,0.562874251497006]",False
0.83999999999999997,0.42327981898571093,0.68124425662348798,"[0.49343065693430654,0.45910290237467016,0.3979591836734694,0.467966573816156,0.2979397781299525]","[0.7191489361702128,0.6744186046511628,0.740506329113924,0.7058823529411765,0.5662650602409639]",False
0.84999999999999998,0.41416009675278315,0.6851177783876844,"[0.49850746268656715,0.45152722443559096,0.3645833333333333,0.4691011235955056,0.28708133971291866]","[0.759090909090909,0.6719367588932806,0.7191780821917808,0.7198275862068966,0.5555555555555556]",False
0.85999999999999999,0.40737478664582361,0.69808011140321458,"[0.4818181818181818,0.45047489823609227,0.36203866432337434,0.4689265536723164,0.2736156351791531]","[0.7571428571428571,0.70042194092827,0.7410071942446043,0.7280701754385965,0.5637583892617449]",False
0.87,0.40342752448204527,0.69767150743094042,"[0.4818181818181818,0.4444444444444444,0.36203866432337434,0.45803698435277385,0.2707993474714519]","[0.7571428571428571,0.7074235807860262,0.7410071942446043,0.7219730941704036,0.5608108108108109]",False
0.88,0.40161559606784103,0.71294237481064304,"[0.46697388632872505,0.44413793103448274,0.3665480427046263,0.456490727532097,0.2739273927392739]","[0.7562189054726368,0.7155555555555555,0.7803030303030303,0.7239819004524887,0.5886524822695035]",False
